timestamp,visitorid,event,itemid,transactionid
1704067200000,1001,view,501,
1704067260000,1002,view,503,
1704067380000,1003,view,505,
1704067500000,1001,view,502,
1704067560000,1002,view,504,
1704067680000,1003,addtocart,505,
1704067800000,1001,addtocart,502,
1704067920000,1002,transaction,504,T-1002-1
1704068040000,1003,view,506,
1704068100000,1001,transaction,502,T-1001-1
1704068280000,1004,view,507,
1704068400000,1004,view,508,
1704068700000,1004,addtocart,508,
1704069000000,1003,transaction,506,T-1003-1
1704069300000,1002,view,509,
1704070800000,1001,view,503,
1704071100000,1001,view,510,
1704074400000,1004,view,501,
